Designator,Mid X,Mid Y,Rotation,Layer
D1,104.0,-64.0,90.0,top
D2,104.0,-83.77375,90.0,top
D3,123.0,-64.0,90.0,top
D4,123.0,-83.77375,90.0,top
D5,142.0,-64.0,90.0,top
D6,142.0,-83.77375,90.0,top
D7,161.0,-64.0,90.0,top
D8,161.0,-83.77375,90.0,top
SW1,95.25,-65.41,0.0,top
SW10,94.125,-46.08125,0.0,top
SW2,114.3,-65.41,0.0,top
SW3,133.35,-65.41,0.0,top
SW4,152.4,-65.41,0.0,top
SW5,95.25,-84.49,0.0,top
SW6,114.3,-84.49,0.0,top
SW7,133.35,-84.49,0.0,top
SW8,152.4,-84.49,0.0,top
SW9,153.5,-46.08125,0.0,top
U1,123.825,-45.24375,0.0,top
